X,Y,Z
30.841088,3140,19.3280644
30.841088,3140.5,14.61378801
30.841088,3141,10.51010279
30.841088,3141.5,7.569243193
30.841088,3142,5.591977742
30.841088,3142.5,5.539471279
30.841088,3143,8.688290972
30.841088,3143.5,12.68174102
30.841088,3144,13.72733487
30.841088,3144.5,11.83871731
30.841088,3145,9.717547475
30.841088,3145.5,11.76344988
30.841088,3146,16.27485081
30.841088,3146.5,14.85415118
30.841088,3147,9.892915344
30.841088,3147.5,8.938094427
30.841088,3148,10.66872753
30.841088,3148.5,10.90816212
30.841088,3149,9.734041813
30.841088,3149.5,10.30984108
30.841088,3150,13.14213437
30.841088,3150.5,12.74170055
30.841088,3151,9.322750094
30.841088,3151.5,8.432252017
30.841088,3152,9.03976248
30.841088,3152.5,9.967207037
30.841088,3153,10.97609004
30.841088,3153.5,11.4281844
30.841088,3154,12.28591034
30.841088,3154.5,12.22639193
30.841088,3155,9.827206962
30.841088,3155.5,7.915380913
30.841088,3156,9.153922735
30.841088,3156.5,13.6319316
30.841088,3157,19.40485907
30.841088,3157.5,20.39635425
30.841088,3158,18.35220564
30.841088,3158.5,15.9845557
30.841088,3159,14.67198014
30.841088,3159.5,15.52109578
30.841088,3160,17.31237246
30.841088,3160.5,16.44161425
30.841088,3161,13.52369731
30.841088,3161.5,12.14129956
30.841088,3162,13.04892736
30.841088,3162.5,12.87975676
30.841088,3163,12.67094407
30.841088,3163.5,12.33796261
30.841088,3164,13.38853323
30.841088,3164.5,15.81541425
30.841088,3165,15.1383881
30.841088,3165.5,12.6124484
30.841088,3166,11.11024956
30.841088,3166.5,10.97259491
30.841088,3167,11.92625029
30.841088,3167.5,13.17191708
30.841088,3168,13.56235603
30.841088,3168.5,12.59038502
30.841088,3169,12.1718568
30.841088,3169.5,13.40144211
30.841088,3170,14.2664892
30.841088,3170.5,15.18005821
30.841088,3171,14.53157241
30.841088,3171.5,12.37986808
30.841088,3172,10.94388449
30.841088,3172.5,10.36252614
30.841088,3173,10.37176017
30.841088,3173.5,9.461399425
30.841088,3174,7.755405822
30.841088,3174.5,7.509971124
30.841088,3175,11.24970466
30.841088,3175.5,18.62442032
30.841088,3176,21.8384171
30.841088,3176.5,17.84327769
30.841088,3177,13.80976828
30.841088,3177.5,13.66806313
30.841088,3178,14.79784912
30.841088,3178.5,16.27615406
30.841088,3179,17.80678058
30.841088,3179.5,14.94387228
30.841088,3180,11.7564867
30.841088,3180.5,13.430417
30.841088,3181,17.16371867
30.841088,3181.5,18.82187534
30.841088,3182,18.01910609
30.841088,3182.5,15.5046011
30.841088,3183,13.04474423
30.841088,3183.5,12.09420885
30.841088,3184,16.06139971
30.841088,3184.5,23.83017598
30.841088,3185,25.1516505
30.841088,3185.5,21.83628237
30.841088,3186,21.75684561
30.841088,3186.5,19.32391394
30.841088,3187,13.27992125
30.841088,3187.5,10.41693813
30.841088,3188,11.52929404
30.841088,3188.5,14.80864011
30.841088,3189,18.42248884
30.841088,3189.5,18.68996365
30.841088,3190,16.61281718
30.841088,3190.5,14.37308124
30.841088,3191,15.30235938
30.841088,3191.5,17.55041419
30.841088,3192,17.62287289
30.841088,3192.5,17.94639361
30.841088,3193,15.79535284
30.841088,3193.5,11.45802831
30.841088,3194,9.359435778
30.841088,3194.5,9.381274654
30.841088,3195,8.553488064
30.841088,3195.5,7.542580171
30.841088,3196,8.220248552
30.841088,3196.5,11.05295925
30.841088,3197,13.76667679
30.841088,3197.5,15.00200795
30.841088,3198,14.34219475
30.841088,3198.5,12.46420534
30.841088,3199,14.14064984
30.841088,3199.5,17.07338087
30.841088,3200,17.06169344
30.841088,3200.5,14.4155807
30.841088,3201,15.69372921
30.841088,3201.5,15.67343736
30.841088,3202,12.82310441
30.841088,3202.5,12.84450616
30.841088,3203,14.10143061
30.841088,3203.5,11.37346329
30.841088,3204,10.03913533
30.841088,3204.5,11.59392718
30.841088,3205,13.8584299
30.841088,3205.5,14.05232328
30.841088,3206,13.22531426
30.841088,3206.5,13.40933512
30.841088,3207,14.95135202
30.841088,3207.5,15.30046817
30.841088,3208,14.31819198
30.841088,3208.5,14.11028486
